$12;1479371160358806734;1479371160358806734;276;adapter-1;localhost
$12;1479371160358806734;1479371160358806734;276;enterprise-1;localhost
$12;1479371160358806734;1479371160358806734;276;store-1;localhost
$12;1479371160358806734;1479371160358806734;276;server;localhost

$12;1479371160358806734;1479371160358806734;250;server;localhost
$12;1479371160358806734;1479371160358806734;292;store-1;localhost
$12;1479371160358806734;1479371160358806734;826;enterprise-1;localhost
$12;1479371160358806734;1479371160358806734;276;adapter-1;localhost

$12;1479371160358806734;1479371160358806734;840;server;localhost
