$11;1479371160358806734;1479371160358806734;Server4-EU;webservice.inventory;
$10;1479371160358806734;1479371160358806734;Server6-EU;webservice.inventory;

$11;1479371160358806734;1479371160358806734;Server5-EU;tradingsystem.cashdeskline;
$10;1479371160358806734;1479371160358806734;Server4-EU;tradingsystem.cashdeskline;

$11;1479371160358806734;1479371160358806734;Server6-EU;tradingsystem.external.Bank;
$10;1479371160358806734;1479371160358806734;Server3-NonEU;tradingsystem.external.Bank;

$11;1479371160358806734;1479371160358806734;Server3-EU;logic.webservice.cashdeskline.cashdeskservice;
$10;1479371160358806734;1479371160358806734;Server2-NonEU;logic.webservice.cashdeskline.cashdeskservice;

$11;1479371160358806734;1479371160358806734;Server1-EU;cloud.web;
$10;1479371160358806734;1479371160358806734;Server6-EU;cloud.web;

$11;1479371160358806734;1479371160358806734;Server2-EU;tradingsystem.inventory;
$10;1479371160358806734;1479371160358806734;Server1-EU;tradingsystem.inventory;





