$12;1479371160358806734;1479371160358806734;263;Server3-EU;localhost
$10;1479371160358806734;1479371160358806734;Server2-NonEU;AsC_OnlineServices;
$10;1479371160358806734;1479371160358806734;Server1-EU;AsC_TreatmentAnalysis;
$12;1479371160358806734;1479371160358806734;219;Server3-EU;localhost
$10;1479371160358806734;1479371160358806734;Server3-EU;AsC_GovStatistics;
$10;1479371160358806734;1479371160358806734;Server1-NonEU;AsC_CourseAnalysis;
$12;1479371160358806734;1479371160358806734;50;Server1-EU;localhost
$10;1479371160358806734;1479371160358806734;Server1-EU;AsC_DataManager;
$12;1479371160358806734;1479371160358806734;219;Server1-NonEU;localhost
$10;1479371160358806734;1479371160358806734;Server2-EU;AsC_ErrorDetection;
$10;1479371160358806734;1479371160358806734;Server1-EU;AsC_AccountingService;
$10;1479371160358806734;1479371160358806734;Server3-EU;AsC_MarketingAnalysis;
$12;1479371160358806734;1479371160358806734;15;Server1-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server3-EU;AsC_GovStatistics;
$12;1479371160358806734;1479371160358806734;65;Server1-NonEU;localhost
$10;1479371160358806734;1479371160358806734;Server3-EU;AsC_GovStatistics;
$12;1479371160358806734;1479371160358806734;261;Server2-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server2-EU;AsC_ErrorDetection;
$12;1479371160358806734;1479371160358806734;164;Server1-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server2-NonEU;AsC_OnlineServices;
$12;1479371160358806734;1479371160358806734;6;Server3-EU;localhost
$12;1479371160358806734;1479371160358806734;61;Server2-EU;localhost
$12;1479371160358806734;1479371160358806734;179;Server1-EU;localhost
$12;1479371160358806734;1479371160358806734;130;Server3-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server3-EU;AsC_GovStatistics;
$12;1479371160358806734;1479371160358806734;49;Server1-NonEU;localhost
$10;1479371160358806734;1479371160358806734;Server3-EU;AsC_OnlineServices;
$12;1479371160358806734;1479371160358806734;76;Server1-NonEU;localhost
$12;1479371160358806734;1479371160358806734;31;Server3-NonEU;localhost
$12;1479371160358806734;1479371160358806734;182;Server1-NonEU;localhost
$12;1479371160358806734;1479371160358806734;191;Server1-EU;localhost
$12;1479371160358806734;1479371160358806734;83;Server1-NonEU;localhost
$12;1479371160358806734;1479371160358806734;56;Server2-EU;localhost
$12;1479371160358806734;1479371160358806734;59;Server1-NonEU;localhost
$12;1479371160358806734;1479371160358806734;61;Server3-EU;localhost
$12;1479371160358806734;1479371160358806734;160;Server2-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server1-NonEU;AsC_CourseAnalysis;
$12;1479371160358806734;1479371160358806734;57;Server1-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server3-EU;AsC_OnlineServices;
$11;1479371160358806734;1479371160358806734;Server1-EU;AsC_AccountingService;
$11;1479371160358806734;1479371160358806734;Server3-EU;AsC_MarketingAnalysis;
$12;1479371160358806734;1479371160358806734;144;Server1-NonEU;localhost
$10;1479371160358806734;1479371160358806734;Server2-NonEU;AsC_OnlineServices;
$12;1479371160358806734;1479371160358806734;233;Server3-EU;localhost
$12;1479371160358806734;1479371160358806734;16;Server1-NonEU;localhost
$12;1479371160358806734;1479371160358806734;152;Server1-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server2-NonEU;AsC_OnlineServices;
$12;1479371160358806734;1479371160358806734;87;Server3-EU;localhost
$12;1479371160358806734;1479371160358806734;109;Server1-NonEU;localhost
$12;1479371160358806734;1479371160358806734;81;Server2-EU;localhost
$12;1479371160358806734;1479371160358806734;73;Server1-NonEU;localhost
$12;1479371160358806734;1479371160358806734;206;Server3-NonEU;localhost
$10;1479371160358806734;1479371160358806734;Server1-NonEU;AsC_OnlineServices;
$12;1479371160358806734;1479371160358806734;31;Server3-EU;localhost
$12;1479371160358806734;1479371160358806734;228;Server3-NonEU;localhost
$12;1479371160358806734;1479371160358806734;157;Server2-EU;localhost
$12;1479371160358806734;1479371160358806734;178;Server3-NonEU;localhost
$11;1479371160358806734;1479371160358806734;Server1-EU;AsC_DataManager;
$10;1479371160358806734;1479371160358806734;Server2-EU;AsC_AccountingService;
